Software_CategoryLabel,sc_parentLabel,num_software
free software,software,7240
free software,free content,7240
free software,freely redistributable software,7240
free software,source-available software,7240
optical disc authoring software,software,28
optical disc authoring software,utility software,28
file converter,software,8
hacking tool,software,30
educational content editing software,software,0
astrology software,software,1
Decision-making software,software,2
License manager,software,2
web browser,application,170
web browser,computing platform,170
web browser,HTTP client,170
web browser,browser,170
productivity software,software,50
reminder software,software,0
report generator,software,7
anti-cheat,software,0
peer-to-peer software,software,23
content-control software,software,8
messaging app,software,5
natural language processing toolkit,software,14
natural language processing toolkit,software library,14
computer virus,malware,83
computer virus,digital organism,83
spyware,malware,10
rootkit,malware,21
rootkit,system software,21
peer-to-peer web hosting software,software,1
configuration manager,software,6
software configuration manager,software,2
software configuration manager,version control system,2
software configuration manager,configuration manager,2
printing software,software,4
entertainment software,software,2
speech recognition software,software,4
publishing software,software,8
Discovery layer,software,2
anti-plagiarism software,software,2
anti-plagiarism software,educational software,2
integrated development environment,application,199
integrated development environment,source code editor,199
integrated development environment,programming tool,199
integrated development environment,deployment environment,199
animation software,application,4
Disk utility,application,1
Disk utility,utility software,1
communication software,application,14
medical software,application,7
note-taking software,application,25
contact manager,application,3
control panel,application,2
game creation system,application,29
MIDI editor,application,3
MIDI editor,music sequencer,3
MIDI editor,digital audio editor,3
wiki software,application,47
wiki software,collaborative software,47
wiki software,software engine,47
wiki software,hypertext system,47
visualization software,application,5
simulation software,application,39
science software,application,10
multimedia software,application,4
computer-aided manufacturing software,application,11
computer-aided design software,application,92
computer-aided design software,graphics software,92
computer-aided design software,editor,92
computer-aided design software,industrial software,92
word processor,application,117
word processor,editor,117
word processor,productivity software,117
industrial software,application,0
speech synthesis software,application,9
speech synthesis software,audio software,9
typing tutor,application,12
typing tutor,educational software,12
BitTorrent client,application,57
BitTorrent client,client,57
BitTorrent client,peer-to-peer software,57
operating system,system software,1080
genealogy software,application,34
text editor,application,255
text editor,editor,255
video-conferencing software,application,14
search tool,application,1
mind mapping software,application,1
to-do list manager,application,6
RPKI validator,application,1
econometrics software,application,1
farm management software,application,1
farm management software,project management software,1
dictionary software,dictionary,17
dictionary software,application,17
justifier,application,1
network simulator,application,1
network simulator,simulation software,1
pixel-art editor,application,1
pixel-art editor,graphics software,1
pixel-art editor,editor,1
keystroke logging,malware,1
ontology editor,application,17
news aggregator,application,55
news aggregator,aggregator,55
news aggregator,client,55
news aggregator,news aggregation website,55
mobile app,application,838
mobile app,communication medium,838
mobile app,mobile software,838
web server,server software,46
firewall,computer appliance,24
firewall,computer security software,24
firewall,software appliance,24
middleware,system software,26
office suite,software suite,51
office suite,productivity software,51
utility software,computer program,290
utility software,system software,290
email client,client,79
email client,communication software,79
email client,software category,79
device driver,system software,35
device driver,driver,35
print server,server software,1
graphics suite,software suite,1
instant messaging client,communication medium,164
instant messaging client,client,164
instant messaging client,communication software,164
spell checker,computer program,13
interpreter,computer program,23
interpreter,implementation of a programming language,23
codec,computer program,16
codec,decoder,16
codec,encoder,16
graphics software,editor,70
graphics software,application,70
internet bot,computer program,15
emulator,computer program,107
image viewer,application,64
line editor,text editor,5
game engine,middleware,243
game engine,utility software,243
game engine,software engine,243
database management system,software system,104
HTTP client,client,6
FTP client,client,25
Banking software,enterprise software,1
monitoring application,utility software,13
monitoring application,system monitor,13
SSH client,client,3
e-book reader software,file viewer,15
Gopher client,client,4
Gemini client,client,5
browser extension,application,44
browser extension,software extension,44
hypervisor,operating system,35
stalkerware,spyware,0
knowledge-based configuration,application,0
editor,application,9
editor,interactive computing,9
educational software,application,71
educational software,educational technology,71
educational software,software category,71
Ukagaka,computer program,0
Ukagaka,entertainment software,0
version control system,programming tool,17
version control system,software system,17
e-mail server,server software,2
desktop publishing software,graphics software,8
desktop publishing software,editor,8
desktop publishing software,publishing software,8
Python library,application programming interface,5609
Python library,software library,5609
Python library,software package,5609
electronic design automation,application,2
electronic design automation,industrial software,2
screen reader,application,15
screen reader,assistive technology for blind computer use,15
Enterprise Content Management system,content management system,20
Enterprise Content Management system,enterprise software,20
console application,application,134
personal information manager,application,17
personal information manager,personal organizer,17
business software,application,5
music software,application,20
music software,audio software,20
software framework,computer program,230
software framework,software library,230
software framework,computing platform,230
software framework,computing infrastructure,230
orthodox file manager,file manager,23
video software,application,2
video software,multimedia software,2
calendaring software,application,9
Live support software,instant messaging,0
hypertext system,content management system,53
presentation program,application,21
orthodox file manager,application,23
vulnerability scanner,computer program,6
vulnerability scanner,risk management tool,6
application firewall,firewall,0
software development kit,computer program,53
software development kit,programming tool,53
source code editor,text editor,19
source code editor,programming tool,19
database engine,computer program,18
mail retrieval agent,computer program,3
boot loader,computer program,30
grammar checker,computer program,5
screenwriting software,word processor,11
TeX editor,text editor,8
headless content management system,Web content management system,1
mail user agent,computer program,1
packet analyzer,utility software,15
download manager,utility software,32
hex editor,utility software,12
hex editor,editor,12
screensaver,utility software,3
computer security software,utility software,26
compression software,utility software,43
programming tool,utility software,83
partition editor,Disk utility,11
partition editor,utility software,11
backup software,utility software,46
disk cleaner,utility software,1
network utility,utility software,6
privacy software,utility software,2
data synchronization software,utility software,3
application launcher,utility software,12
file archiver,utility software,39
password manager,utility software,34
installer,utility software,7
tiling window manager,window manager,15
portable application creator,utility software,0
desktop environment,graphical user interface,50
3D computer graphics software,graphics software,63
graphics library,software library,28
graphics library,graphics software,28
scorewriter,editor,29
scorewriter,music software,29
HTML editor,editor,53
digital audio editor,editor,51
digital audio editor,audio software,51
scenery generator,graphics software,2
photo slideshow software,image viewer,0
image organizer,graphics software,15
vector graphics editor,graphics software,63
vector graphics editor,editor,63
windowing system,graphical user interface,19
video editing software,editor,114
video editing software,video software,114
raster graphics editor,graphics software,147
raster graphics editor,editor,147
raster graphics editor,computer-aided design software,147
Q6078050,website,1
Q6078050,educational software,1
plotting software,graphics software,4
plotting software,science software,4
VoIP software,softphone,18
VoIP software,communication software,18
image processing software,graphics software,13
dynamic geometry software,graphics software,19
dynamic geometry software,science software,19
physics engine,software engine,15
physics engine,science software,15
project management software,business software,55
media player software,multimedia software,72
mail delivery agent,e-mail server,3
terminal emulator,emulator,44
terminal emulator,terminal client,44
Virtual home design software,computer-aided design software,0
Video management system,surveillance software,0
fuzzy finder,search tool,4
Unix printing architecture,printing architecture,4
video codec,codec,34
video codec,video software,34
collaborative software,social software,58
collaborative software,business software,58
social software,communication software,3
astronomy software,science software,8
accounting software,business software,24
computer-aided engineering,science software,15
DJ software,music software,3
mathematical software,science software,21
antivirus software,computer security software,91
intrusion detection system,computer security software,9
diagramming software,communication software,17
diagramming software,computer-aided design software,17
IRC client,instant messaging client,54
web crawler,internet bot,16
video game bot,internet bot,2
audio codec,codec,36
CSS framework,software framework,7
video conversion software,video codec,2
Android emulator,emulator,3
Android emulator,computing platform,3
subtitle editor,software,5
closed-circuit television software,software,1
driver assistance software,software,2
spatial analysis software,software,1
Jupyter kernel,application,3
shell tool,application,29
anti-worm,computer worm,0
VBRİS,database management system,0
VBRİS,relational database management system,0
data recovery software,utility software,5
daemon-managing daemon,utility software,3
rendering software,graphics software,10
port scanner,computer security software,1
widget toolkit,graphics library,84
anti-keylogger,computer security software,0
file sharing software,social software,11
clinical decision support system,decision support system,1
anti malware,computer security software,1
JavaScript framework,software framework,18
compiler,programming tool,100
compiler,implementation of a programming language,100
software library,programming tool,807
software library,software component,807
debugger,programming tool,36
font editor,vector graphics editor,6
disassembler,programming tool,7
disassembler,translator,7
linker,programming tool,4
computer algebra system,mathematical software,46
decompiler,programming tool,3
compiler-compiler,compiler,7
compiler-compiler,programming tool,7
Fractal-generating software,mathematical software,1
graphical user interface builder,programming tool,4
documentation generator,programming tool,24
documentation generator,technical communication tool,24
build automation,programming tool,36
lexical analyzer generator,compiler,3
lexical analyzer generator,programming tool,3
implementation of a programming language,programming tool,56
web development tools,programming tool,3
Compositing software,video editing software,5
assembler,programming tool,7
assembler,translator,7
audio software,multimedia software,15
data analysis software,science software,10
screencasting software,video software,0
computer-assisted learning,learning,0
computer-assisted learning,educational software,0
audio processor,multimedia software,1
customer relationship management software,business software,13
Internet forum software,social software,20
electronic mailing list manager,social software,9
encryption software,privacy software,42
disk cloning software,backup software,5
software calculator,calculator,12
software calculator,mathematical software,12
statistical package,mathematical software,15
software testing tool,programming tool,16
password cracking software,computer security software,8
CASE tool,programming tool,6
numerical software,mathematical software,36
web browser engine,software engine,13
web browser engine,rendering software,13
CD ripper,audio software,10
computer-assisted language learning,language acquisition,2
computer-assisted language learning,computer-assisted learning,2
TeX macro package,software library,19
TeX macro package,typesetting software,19
file synchronisation software,data synchronization software,5
ray-tracing software,rendering software,4
association management software,customer relationship management software,1
R package,software package,20
JavaScript library,software library,1551
wrapper library,software library,2
wrapper library,interface,2
Java software library,software library,98
standard library,software library,2
runtime library,software library,13
conditional access system,encryption software,0
graphics engine,software engine,10
JavaScript engine,implementation of a programming language,15
Perl module,module,4
translator,implementation of a programming language,5
disk encryption software,encryption software,18
steganography tool,encryption software,2
imageboard software,Internet forum software,14
malware,software,57
malware,computer program,57
malware,badware,57
malware,security risk,57
integrated library system,software,37
integrated library system,application,37
integrated library system,automated information system,37
firmware,computer hardware,24
firmware,software,24
bulk email software,software,1
content management system,software,300
content management system,computer program,300
content management system,management system,300
Autoresponder,software,0
application,software,1315
patch,software,5
client,software,33
system software,software,29
notification area,software,1
notification area,panel,1
notification area,operating system component,1
taskbar,software,8
taskbar,panel,8
system monitor,software,8
system monitor,monitoring,8
file viewer,software,13
remote desktop software,software,8
software as a service,software,108
software as a service,as a service,108
formula editor,software,8
formula editor,mathematical software,8
command-line interpreter,software,9
server software,software,71
server software,server,71
reference management software,software,52
PC booter,software,0
outliner,software,4
outliner,editor,4
job scheduler,software,5
XML editor,software,21
On-premises software,software,1
simulator,software,11
simulator,device,11
human resource management system,software,1
human resource management system,management system,1
human resource management system,human resource management,1
document authoring system,programming tool,3
document authoring system,technical communication tool,3
printing architecture,printing software,0
anti-rootkit software,intrusion detection system,6
On-the-fly encryption software,disk encryption software,3
booru software,imageboard software,6
